lambda	Flux	e_Flux
0.1nm	10-2W/m2/nm	10-2W/m2/nm
---------	----------	----------
4928.9580	6.3951e-12	1.8185e-14
4930.2080	6.3512e-12	2.2889e-14
4931.4580	6.1518e-12	1.9672e-14
4932.7080	5.6835e-12	1.1354e-14
4933.9580	5.6286e-12	1.4428e-14
4935.2080	5.9475e-12	1.5564e-14
4936.4580	5.9106e-12	1.3177e-14
4937.7080	5.7308e-12	1.9382e-14
4938.9580	5.8938e-12	1.2009e-14
4940.2080	6.2581e-12	2.2290e-14
4941.4580	6.3886e-12	1.5088e-14
4942.7080	6.3745e-12	1.4288e-14
4943.9580	6.2888e-12	2.0275e-14
4945.2080	6.1586e-12	1.5282e-14
4946.4580	6.2178e-12	1.6268e-14
4947.7080	6.3200e-12	2.1197e-14
4948.9580	6.3125e-12	2.0286e-14
4950.2080	6.2844e-12	1.6688e-14
4951.4580	6.1649e-12	1.5650e-14
4952.7080	6.1278e-12	1.3383e-14
4953.9580	6.2500e-12	1.9457e-14
4955.2080	6.0748e-12	1.0216e-14
4956.4580	5.5534e-12	1.5973e-14
4957.7080	5.7326e-12	1.6283e-14
4958.9580	6.3108e-12	2.7288e-14
4960.2080	6.4237e-12	1.5468e-14
4961.4580	6.3780e-12	2.0486e-14
4962.7080	6.4094e-12	1.9913e-14
4963.9580	6.3198e-12	1.5922e-14
4965.2080	6.1569e-12	2.0408e-14
4966.4580	6.1143e-12	1.8961e-14
4967.7080	6.1400e-12	1.9332e-14
4968.9580	6.0901e-12	1.7157e-14
4970.2080	6.0714e-12	1.3588e-14
4971.4580	6.1651e-12	2.0123e-14
4972.7080	6.2788e-12	2.5002e-14
4973.9580	6.3678e-12	1.9525e-14
4975.2080	6.3495e-12	1.8001e-14
4976.4580	6.2678e-12	2.2078e-14
4977.7080	6.1371e-12	2.3333e-14
4978.9580	5.9943e-12	1.9091e-14
4980.2080	5.7967e-12	1.5391e-14
4981.4580	5.3817e-12	1.2265e-14
4982.7080	5.1289e-12	1.7282e-14
4983.9580	5.3629e-12	2.1839e-14
4985.2080	5.8002e-12	2.4290e-14
4986.4580	6.1425e-12	2.4061e-14
4987.7080	6.2061e-12	2.2813e-14
4988.9580	6.0812e-12	1.8952e-14
4990.2080	5.9640e-12	1.8414e-14
4991.4580	5.9396e-12	2.1276e-14
4992.7080	5.9094e-12	2.4485e-14
4993.9580	6.0192e-12	2.8634e-14
4995.2080	6.1841e-12	2.2602e-14
4996.4580	6.1655e-12	2.3872e-14
4997.7080	6.0292e-12	1.9142e-14
4998.9580	5.7987e-12	1.6733e-14
5000.2080	5.5799e-12	2.1396e-14
5001.4580	5.6086e-12	2.1884e-14
5002.7080	5.8413e-12	2.1650e-14
5003.9580	5.7385e-12	2.0030e-14
5005.2080	5.4225e-12	1.9075e-14
5006.4580	5.5720e-12	2.1440e-14
5007.7080	5.9963e-12	3.1144e-14
5008.9580	6.0587e-12	2.3484e-14
5010.2080	5.8300e-12	2.7424e-14
5011.4580	5.6116e-12	2.4663e-14
5012.7080	5.5660e-12	2.3638e-14
5013.9580	5.6718e-12	2.5331e-14
5015.2080	5.7696e-12	2.9043e-14
5016.4580	5.3889e-12	2.3356e-14
5017.7080	5.0405e-12	2.2485e-14
5018.9580	5.4292e-12	2.9459e-14
5020.2080	5.7832e-12	2.8977e-14
5021.4580	5.8115e-12	2.7331e-14
5022.7080	5.9536e-12	3.0851e-14
5023.9580	6.1250e-12	3.4502e-14
5025.2080	6.0374e-12	2.7573e-14
5026.4580	5.8139e-12	2.4935e-14
5027.7080	5.8496e-12	3.1576e-14
5028.9580	6.0283e-12	2.9541e-14
5030.2080	6.0849e-12	3.2964e-14
5031.4580	6.1103e-12	3.5593e-14
5032.7080	6.0900e-12	3.3519e-14
5033.9580	5.7958e-12	2.6039e-14
5035.2080	5.6067e-12	2.5094e-14
5036.4580	5.7951e-12	3.1898e-14
5037.7080	5.8517e-12	2.6052e-14
5038.9580	5.6280e-12	2.7546e-14
5040.2080	5.3368e-12	2.2180e-14
5041.4580	5.4520e-12	2.9098e-14
5042.7080	5.8943e-12	2.8742e-14
5043.9580	6.1008e-12	2.8870e-14
5045.2080	6.1473e-12	3.1918e-14
5046.4580	5.9913e-12	3.1405e-14
5047.7080	5.7020e-12	3.0238e-14
5048.9580	5.5965e-12	3.0677e-14
5050.2080	5.6254e-12	2.9577e-14
5051.4580	5.7236e-12	2.8916e-14
5052.7080	5.9309e-12	2.8905e-14
5053.9580	5.9783e-12	3.5993e-14
5055.2080	5.8620e-12	3.6426e-14
5056.4580	5.9191e-12	3.4773e-14
5057.7080	6.0695e-12	3.4220e-14
5058.9580	6.1335e-12	3.5897e-14
5060.2080	6.1462e-12	3.3021e-14
5061.4580	6.1416e-12	3.6480e-14
5062.7080	6.0417e-12	3.6476e-14
5063.9580	5.7904e-12	3.0747e-14
5065.2080	5.7204e-12	3.3704e-14
5066.4580	5.7883e-12	3.6595e-14
5067.7080	5.7581e-12	3.8675e-14
5068.9580	5.8499e-12	3.4688e-14
5070.2080	5.8656e-12	3.1563e-14
5071.4580	5.7064e-12	3.1459e-14
5072.7080	5.6938e-12	3.3380e-14
5073.9580	5.6320e-12	3.0723e-14
5075.2080	5.6547e-12	3.3598e-14
5076.4580	5.7986e-12	3.5802e-14
5077.7080	5.5785e-12	3.0642e-14
5078.9580	5.1526e-12	3.0451e-14
5080.2080	5.1647e-12	3.0879e-14
5081.4580	5.4395e-12	3.4675e-14
5082.7080	5.5181e-12	3.1611e-14
5083.9580	5.6653e-12	3.4701e-14
5085.2080	5.7586e-12	3.4277e-14
5086.4580	5.5764e-12	3.5409e-14
5087.7080	5.6221e-12	3.4487e-14
5088.9580	5.7850e-12	3.3848e-14
5090.2080	5.8299e-12	3.5987e-14
5091.4580	5.8894e-12	3.6820e-14
5092.7080	5.9132e-12	3.9861e-14
5093.9580	5.9273e-12	3.3493e-14
5095.2080	5.7743e-12	3.3549e-14
5096.4580	5.4758e-12	3.1064e-14
5097.7080	5.2390e-12	3.0640e-14
5098.9580	5.1772e-12	3.3445e-14
5100.2080	5.4103e-12	3.1971e-14
5101.4580	5.6973e-12	3.7998e-14
5102.7080	5.8115e-12	3.8252e-14
5103.9580	5.8076e-12	3.4219e-14
5105.2080	5.7215e-12	3.5497e-14
5106.4580	5.6234e-12	3.9960e-14
5107.7080	5.6013e-12	3.6710e-14
5108.9580	5.6038e-12	3.3152e-14
5110.2080	5.6506e-12	3.9030e-14
5111.4580	5.7964e-12	3.6844e-14
5112.7080	5.8319e-12	3.6866e-14
5113.9580	5.7296e-12	3.6159e-14
5115.2080	5.7150e-12	3.5756e-14
5116.4580	5.8337e-12	3.7863e-14
5117.7080	5.8222e-12	3.5835e-14
5118.9580	5.7232e-12	3.8239e-14
5120.2080	5.6530e-12	3.8094e-14
5121.4580	5.4879e-12	3.7345e-14
5122.7080	5.3036e-12	3.6864e-14
5123.9580	5.2965e-12	3.4209e-14
5125.2080	5.3999e-12	3.8800e-14
5126.4580	5.4558e-12	3.4030e-14
5127.7080	5.3502e-12	3.5617e-14
5128.9580	5.3306e-12	3.5362e-14
5130.2080	5.4536e-12	3.9143e-14
5131.4580	5.4203e-12	4.1994e-14
5132.7080	5.3425e-12	3.5434e-14
5133.9580	5.5380e-12	4.1678e-14
5135.2080	5.5882e-12	3.6775e-14
5136.4580	5.3713e-12	3.2795e-14
5137.7080	5.2235e-12	3.1130e-14
5138.9580	5.2699e-12	3.7177e-14
5140.2080	5.4600e-12	3.9329e-14
5141.4580	5.3416e-12	3.4585e-14
5142.7080	5.3891e-12	3.7297e-14
5143.9580	5.5677e-12	3.3658e-14
5145.2080	5.3974e-12	3.3642e-14
5146.4580	5.2901e-12	3.4731e-14
5147.7080	5.4313e-12	3.7753e-14
5148.9580	5.5609e-12	3.4112e-14
5150.2080	5.5648e-12	3.5851e-14
5151.4580	5.4793e-12	3.0735e-14
5152.7080	5.2458e-12	3.3870e-14
5153.9580	5.1691e-12	3.5531e-14
5155.2080	5.3673e-12	3.9196e-14
5156.4580	5.5688e-12	4.0080e-14
5157.7080	5.6597e-12	3.9021e-14
5158.9580	5.6557e-12	3.7680e-14
5160.2080	5.5054e-12	3.3002e-14
5161.4580	5.3938e-12	3.4918e-14
5162.7080	5.5214e-12	3.9044e-14
5163.9580	5.5291e-12	3.6754e-14
5165.2080	5.1715e-12	3.6716e-14
5166.4580	4.6537e-12	3.4877e-14
5167.7080	4.4303e-12	3.0504e-14
5168.9580	4.8070e-12	3.1539e-14
5170.2080	5.0487e-12	3.3414e-14
5171.4580	4.8799e-12	3.5153e-14
5172.7080	5.1396e-12	3.6651e-14
5173.9580	5.5968e-12	3.9432e-14
5175.2080	5.6572e-12	4.1330e-14
5176.4580	5.6243e-12	3.5531e-14
5177.7080	5.6644e-12	3.7097e-14
5178.9580	5.6471e-12	3.9188e-14
5180.2080	5.6123e-12	3.3986e-14
5181.4580	5.3529e-12	3.5905e-14
5182.7080	4.9005e-12	3.3254e-14
5183.9580	4.9614e-12	3.4453e-14
5185.2080	5.2918e-12	2.9901e-14
5186.4580	5.2902e-12	3.7737e-14
5187.7080	5.1667e-12	3.4725e-14
5188.9580	5.2716e-12	3.7107e-14
5190.2080	5.1444e-12	3.2098e-14
5191.4580	4.8980e-12	3.1274e-14
5192.7080	5.1549e-12	3.7105e-14
5193.9580	5.2057e-12	3.6279e-14
5195.2080	5.0186e-12	3.4411e-14
5196.4580	4.9553e-12	3.4403e-14
5197.7080	5.1060e-12	3.7120e-14
5198.9580	5.2831e-12	3.5603e-14
5200.2080	5.3080e-12	3.7121e-14
5201.4580	5.3473e-12	3.8098e-14
5202.7080	5.2504e-12	3.9223e-14
5203.9580	4.9344e-12	3.3902e-14
5205.2080	4.8312e-12	3.2272e-14
5206.4580	5.0809e-12	3.3935e-14
5207.7080	5.1769e-12	3.8429e-14
5208.9580	5.3531e-12	3.8932e-14
5210.2080	5.4959e-12	3.7934e-14
5211.4580	5.5493e-12	3.6798e-14
5212.7080	5.5751e-12	3.5611e-14
5213.9580	5.3065e-12	3.5340e-14
5215.2080	5.0424e-12	3.3585e-14
5216.4580	5.0849e-12	3.3736e-14
5217.7080	5.3409e-12	3.6635e-14
5218.9580	5.5424e-12	3.8282e-14
5220.2080	5.6214e-12	3.7194e-14
5221.4580	5.6546e-12	4.1724e-14
5222.7080	5.6210e-12	3.6409e-14
5223.9580	5.4153e-12	3.4972e-14
5225.2080	4.7460e-12	3.7551e-14
5226.4580	4.4523e-12	3.1856e-14
5227.7080	4.9687e-12	2.6766e-14
5228.9580	5.3667e-12	3.2337e-14
5230.2080	5.4222e-12	3.1728e-14
5231.4580	5.1725e-12	3.3835e-14
5232.7080	4.8545e-12	3.5910e-14
5233.9580	4.8548e-12	3.5867e-14
5235.2080	5.0659e-12	3.1850e-14
5236.4580	5.2348e-12	3.1477e-14
5237.7080	5.4144e-12	3.2899e-14
5238.9580	5.5891e-12	3.5112e-14
5240.2080	5.5740e-12	3.8252e-14
5241.4580	5.4477e-12	3.7779e-14
5242.7080	5.4209e-12	3.4683e-14
5243.9580	5.5429e-12	3.5033e-14
5245.2080	5.5484e-12	3.6871e-14
5246.4580	5.4660e-12	3.8508e-14
5247.7080	5.3990e-12	3.7308e-14
5248.9580	5.3023e-12	3.4098e-14
5250.2080	5.3308e-12	3.2177e-14
5251.4580	5.4575e-12	3.4815e-14
5252.7080	5.4166e-12	3.7511e-14
5253.9580	5.2538e-12	3.8233e-14
5255.2080	5.2787e-12	3.6082e-14
5256.4580	5.4498e-12	3.1882e-14
5257.7080	5.5392e-12	3.3851e-14
5258.9580	5.5018e-12	3.4266e-14
5260.2080	5.3605e-12	3.3432e-14
5261.4580	5.1568e-12	3.6391e-14
5262.7080	4.8957e-12	3.3539e-14
5263.9580	4.6706e-12	2.9304e-14
5265.2080	4.6833e-12	2.8512e-14
5266.4580	4.9604e-12	3.0729e-14
5267.7080	4.9270e-12	3.1368e-14
5268.9580	4.5854e-12	3.3113e-14
5270.2080	4.8044e-12	2.7719e-14
5271.4580	5.1042e-12	3.2402e-14
5272.7080	4.9980e-12	3.2350e-14
5273.9580	4.7232e-12	3.2434e-14
5275.2080	4.6853e-12	3.6827e-14
5276.4580	5.1484e-12	2.8802e-14
5277.7080	5.3483e-12	3.4060e-14
5278.9580	5.1995e-12	3.4303e-14
5280.2080	5.1451e-12	3.4607e-14
5281.4580	5.1131e-12	3.2222e-14
5282.7080	4.8828e-12	3.6654e-14
5283.9580	4.9908e-12	3.4717e-14
5285.2080	5.4210e-12	2.8644e-14
5286.4580	5.5606e-12	3.2604e-14
5287.7080	5.5348e-12	3.4573e-14
5288.9580	5.5218e-12	3.2297e-14
5290.2080	5.5034e-12	3.6300e-14
5291.4580	5.4278e-12	3.7432e-14
5292.7080	5.3724e-12	3.1670e-14
5293.9580	5.4150e-12	3.4458e-14
5295.2080	5.4056e-12	3.1648e-14
