lambda	Flux	e_Flux
0.1nm	10-2W/m2/nm	10-2W/m2/nm
---------	----------	----------
4749.6500	6.7094e-11	1.3854e-12
4750.9000	7.3205e-11	1.4671e-12
4752.1500	7.2373e-11	1.3498e-12
4753.4000	7.0023e-11	1.3574e-12
4754.6500	7.0613e-11	1.3569e-12
4755.9000	7.1990e-11	1.4327e-12
4757.1500	7.0243e-11	1.3744e-12
4758.4000	6.5861e-11	1.3648e-12
4759.6500	6.4449e-11	1.3021e-12
4760.9000	6.5978e-11	1.2649e-12
4762.1500	6.2886e-11	1.2350e-12
4763.4000	5.8258e-11	1.1883e-12
4764.6500	5.6659e-11	1.0626e-12
4765.9000	5.4323e-11	1.0486e-12
4767.1500	5.3753e-11	1.1246e-12
4768.4000	5.7051e-11	1.2339e-12
4769.6500	6.0122e-11	1.0809e-12
4770.9000	6.0393e-11	1.2385e-12
4772.1500	5.8094e-11	1.2226e-12
4773.4000	5.7966e-11	1.2135e-12
4774.6500	6.2301e-11	1.2562e-12
4775.9000	6.4470e-11	1.2030e-12
4777.1500	6.3033e-11	1.3408e-12
4778.4000	6.2034e-11	1.1706e-12
4779.6500	6.0243e-11	1.2124e-12
4780.9000	5.8815e-11	1.1941e-12
4782.1500	5.7131e-11	1.2256e-12
4783.4000	5.4691e-11	1.1185e-12
4784.6500	5.5248e-11	1.1548e-12
4785.9000	5.7928e-11	1.2485e-12
4787.1500	5.8298e-11	1.1229e-12
4788.4000	5.8526e-11	1.1767e-12
4789.6500	5.8087e-11	1.1660e-12
4790.9000	5.8241e-11	1.1760e-12
4792.1500	5.9863e-11	1.1978e-12
4793.4000	6.3503e-11	1.3422e-12
4794.6500	6.9474e-11	1.4900e-12
4795.9000	7.1104e-11	1.4908e-12
4797.1500	6.8554e-11	1.4229e-12
4798.4000	6.4843e-11	1.2944e-12
4799.6500	6.1654e-11	1.1151e-12
4800.9000	6.2409e-11	1.2235e-12
4802.1500	6.7645e-11	1.3561e-12
4803.4000	7.1822e-11	1.4924e-12
4804.6500	6.9077e-11	1.3020e-12
4805.9000	6.2216e-11	1.2801e-12
4807.1500	5.8675e-11	1.1845e-12
4808.4000	5.7924e-11	1.1776e-12
4809.6500	5.9977e-11	1.1972e-12
4810.9000	6.2856e-11	1.2308e-12
4812.1500	6.2797e-11	1.3616e-12
4813.4000	6.2833e-11	1.3092e-12
4814.6500	6.3369e-11	1.2614e-12
4815.9000	6.2359e-11	1.1829e-12
4817.1500	6.4095e-11	1.2852e-12
4818.4000	6.8208e-11	1.4079e-12
4819.6500	7.0045e-11	1.4804e-12
4820.9000	6.9315e-11	1.3872e-12
4822.1500	6.8656e-11	1.3321e-12
4823.4000	6.5512e-11	1.3336e-12
4824.6500	6.2781e-11	1.3205e-12
4825.9000	6.6446e-11	1.3938e-12
4827.1500	6.8031e-11	1.4320e-12
4828.4000	6.5004e-11	1.3870e-12
4829.6500	6.4689e-11	1.2934e-12
4830.9000	6.6315e-11	1.4101e-12
4832.1500	6.1164e-11	1.2391e-12
4833.4000	5.9724e-11	1.1192e-12
4834.6500	6.7077e-11	1.5137e-12
4835.9000	6.9264e-11	1.4400e-12
4837.1500	6.8092e-11	1.3901e-12
4838.4000	6.8044e-11	1.5005e-12
4839.6500	6.6005e-11	1.3605e-12
4840.9000	6.5026e-11	1.3955e-12
4842.1500	6.6673e-11	1.4599e-12
4843.4000	6.4826e-11	1.2784e-12
4844.6500	6.4560e-11	1.3347e-12
4845.9000	6.9989e-11	1.5772e-12
4847.1500	7.1917e-11	1.5441e-12
4848.4000	6.6760e-11	1.3157e-12
4849.6500	6.4566e-11	1.3787e-12
4850.9000	6.7221e-11	1.4269e-12
4852.1500	6.7389e-11	1.4893e-12
4853.4000	6.8418e-11	1.4430e-12
