lambda	Flux	e_Flux
4854.6500	6.6613e-11	1.3562e-12
4855.9000	6.2079e-11	1.2798e-12
4857.1500	6.5270e-11	1.3905e-12
4858.4000	7.0050e-11	1.4175e-12
4859.6500	6.7552e-11	1.3850e-12
4860.9000	5.8980e-11	1.2363e-12
4862.1500	5.3957e-11	1.1149e-12
4863.4000	5.9415e-11	1.1903e-12
4864.6500	6.3468e-11	1.3513e-12
4865.9000	6.4500e-11	1.2669e-12
4867.1500	6.7232e-11	1.3974e-12
4868.4000	6.7090e-11	1.4374e-12
4869.6500	6.7787e-11	1.4231e-12
4870.9000	6.6565e-11	1.5232e-12
4872.1500	6.2062e-11	1.4071e-12
4873.4000	6.4948e-11	1.3562e-12
4874.6500	6.8593e-11	1.4369e-12
4875.9000	6.6698e-11	1.4061e-12
4877.1500	6.9264e-11	1.5688e-12
4878.4000	7.2638e-11	1.5452e-12
4879.6500	7.4526e-11	1.7353e-12
4880.9000	6.9950e-11	1.5766e-12
4882.1500	6.2569e-11	1.3238e-12
4883.4000	6.6704e-11	1.4065e-12
4884.6500	7.0666e-11	1.5086e-12
4885.9000	6.6164e-11	1.3752e-12
4887.1500	6.4108e-11	1.3630e-12
4888.4000	6.7448e-11	1.4838e-12
4889.6500	6.8694e-11	1.5572e-12
4890.9000	6.4382e-11	1.3804e-12
4892.1500	6.3531e-11	1.3404e-12
4893.4000	7.0343e-11	1.5546e-12
4894.6500	7.7061e-11	1.6833e-12
4895.9000	8.2291e-11	1.7656e-12
4897.1500	8.4714e-11	1.8538e-12
4898.4000	8.4412e-11	1.9026e-12
4899.6500	7.8083e-11	1.7742e-12
4900.9000	7.2825e-11	1.5486e-12
4902.1500	7.4613e-11	1.6418e-12
4903.4000	7.3794e-11	1.6522e-12
4904.6500	7.2696e-11	1.7115e-12
4905.9000	7.8594e-11	1.7580e-12
4907.1500	8.2850e-11	1.8107e-12
4908.4000	7.9243e-11	1.7764e-12
4909.6500	7.3975e-11	1.5737e-12
4910.9000	7.3093e-11	1.7125e-12
4912.1500	7.5759e-11	1.6577e-12
4913.4000	7.7052e-11	1.6734e-12
4914.6500	7.8046e-11	1.6902e-12
4915.9000	8.1743e-11	1.7300e-12
4917.1500	8.3857e-11	1.8263e-12
4918.4000	7.8572e-11	1.8242e-12
4919.6500	6.8026e-11	1.5470e-12
4920.9000	6.1358e-11	1.3586e-12
4922.1500	6.6470e-11	1.5108e-12
4923.4000	7.6038e-11	1.7119e-12
4924.6500	7.6180e-11	1.7562e-12
4925.9000	7.2421e-11	1.6184e-12
4927.1500	7.7427e-11	1.7772e-12
4928.4000	8.3187e-11	1.8747e-12
4929.6500	8.5800e-11	1.9182e-12
4930.9000	8.7355e-11	1.9362e-12
4932.1500	8.6028e-11	1.9550e-12
4933.4000	7.9590e-11	1.8930e-12
4934.6500	7.4361e-11	1.6388e-12
4935.9000	7.9350e-11	1.7589e-12
4937.1500	8.0626e-11	1.9037e-12
4938.4000	7.1402e-11	1.5958e-12
4939.6500	6.7115e-11	1.4574e-12
4940.9000	7.3512e-11	1.6172e-12
4942.1500	7.7791e-11	1.8382e-12
4943.4000	7.9473e-11	1.7374e-12
4944.6500	8.3551e-11	1.9239e-12
4945.9000	8.3449e-11	1.8827e-12
4947.1500	8.3586e-11	1.9468e-12
4948.4000	8.5101e-11	1.9857e-12
4949.6500	8.6695e-11	2.0133e-12
4950.9000	9.0208e-11	2.0774e-12
4952.1500	9.0815e-11	2.0720e-12
4953.4000	8.5793e-11	1.9825e-12
4954.6500	7.7178e-11	1.7354e-12
4955.9000	6.8964e-11	1.5133e-12
4957.1500	5.9222e-11	1.3268e-12
4958.4000	5.3003e-11	1.2198e-12
4959.6500	5.8809e-11	1.3871e-12
4960.9000	6.6313e-11	1.4958e-12
4962.1500	6.6640e-11	1.4704e-12
4963.4000	6.5339e-11	1.5688e-12
4964.6500	6.3381e-11	1.4657e-12
4965.9000	6.0342e-11	1.3648e-12
4967.1500	5.8846e-11	1.3476e-12
4968.4000	5.9582e-11	1.3865e-12
4969.6500	6.3555e-11	1.4844e-12
4970.9000	6.7687e-11	1.5661e-12
4972.1500	7.0665e-11	1.6084e-12
4973.4000	7.2587e-11	1.7109e-12
4974.6500	7.3654e-11	1.7332e-12
4975.9000	7.3890e-11	1.7469e-12
4977.1500	7.3030e-11	1.6771e-12
4978.4000	6.9430e-11	1.6716e-12
4979.6500	6.5975e-11	1.6151e-12
4980.9000	6.4599e-11	1.5344e-12
4982.1500	5.8659e-11	1.4265e-12
4983.4000	5.5676e-11	1.3450e-12
4984.6500	6.2228e-11	1.3787e-12
4985.9000	6.6955e-11	1.5597e-12
4987.1500	6.8215e-11	1.5985e-12
4988.4000	7.0481e-11	1.6663e-12
4989.6500	6.9846e-11	1.5975e-12
4990.9000	6.7151e-11	1.5732e-12
4992.1500	6.8824e-11	1.5903e-12
4993.4000	7.2571e-11	1.7357e-12
4994.6500	7.0137e-11	1.5980e-12
4995.9000	6.9400e-11	1.6575e-12
4997.1500	7.0233e-11	1.6282e-12
4998.4000	6.9424e-11	1.6926e-12
4999.6500	6.4056e-11	1.5047e-12
5000.9000	5.9095e-11	1.3231e-12
5002.1500	6.2487e-11	1.5152e-12
5003.4000	6.4891e-11	1.5497e-12
5004.6500	6.4686e-11	1.5468e-12
5005.9000	6.2323e-11	1.4954e-12
5007.1500	5.9136e-11	1.3503e-12
5008.4000	6.1718e-11	1.5460e-12
5009.6500	6.5946e-11	1.6126e-12
5010.9000	6.7504e-11	1.6295e-12
5012.1500	6.4148e-11	1.5623e-12
5013.4000	5.7168e-11	1.4356e-12
5014.6500	5.2218e-11	1.2229e-12
5015.9000	5.5147e-11	1.3980e-12
5017.1500	6.2429e-11	1.5140e-12
5018.4000	6.5527e-11	1.6216e-12
5019.6500	6.6412e-11	1.5492e-12
5020.9000	6.6073e-11	1.5822e-12
5022.1500	6.2071e-11	1.5430e-12
5023.4000	5.9980e-11	1.5158e-12
5024.6500	6.4344e-11	1.4629e-12
5025.9000	6.8110e-11	1.6419e-12
5027.1500	6.7236e-11	1.6259e-12
5028.4000	6.5024e-11	1.6525e-12
5029.6500	6.7657e-11	1.6852e-12
5030.9000	7.2062e-11	1.7061e-12
5032.1500	7.4644e-11	1.7893e-12
5033.4000	7.7219e-11	1.8334e-12
5034.6500	7.6209e-11	1.8947e-12
5035.9000	6.8270e-11	1.7357e-12
5037.1500	6.4000e-11	1.5554e-12
5038.4000	6.6790e-11	1.5757e-12
5039.6500	6.2954e-11	1.5815e-12
5040.9000	5.3557e-11	1.3570e-12
5042.1500	5.3234e-11	1.2550e-12
5043.4000	6.3467e-11	1.5598e-12
5044.6500	7.1889e-11	1.8020e-12
5045.9000	7.7143e-11	1.8624e-12
5047.1500	8.0063e-11	2.0043e-12
5048.4000	7.5833e-11	1.9061e-12
5049.6500	6.7818e-11	1.7140e-12
5050.9000	6.4880e-11	1.5521e-12
5052.1500	6.6663e-11	1.6105e-12
5053.4000	6.9033e-11	1.6917e-12
5054.6500	7.1934e-11	1.8499e-12
5055.9000	7.4620e-11	1.8242e-12
5057.1500	7.6257e-11	1.9093e-12
5058.4000	7.7754e-11	1.9304e-12
5059.6500	7.7819e-11	1.8691e-12
5060.9000	7.8678e-11	1.8834e-12
5062.1500	8.0350e-11	2.0114e-12
5063.4000	7.7728e-11	1.9066e-12
5064.6500	6.7333e-11	1.6773e-12
5065.9000	6.1389e-11	1.4566e-12
5067.1500	6.7418e-11	1.7670e-12
5068.4000	6.8816e-11	1.7241e-12
5069.6500	6.8113e-11	1.7167e-12
5070.9000	7.1140e-11	1.7692e-12
5072.1500	6.9208e-11	1.6567e-12
5073.4000	6.9205e-11	1.7681e-12
5074.6500	7.5678e-11	2.0090e-12
5075.9000	7.4380e-11	1.8710e-12
5077.1500	7.0195e-11	1.7950e-12
5078.4000	7.2153e-11	1.7782e-12
5079.6500	6.6932e-11	1.6342e-12
5080.9000	6.0462e-11	1.6055e-12
5082.1500	6.1493e-11	1.5179e-12
5083.4000	6.2222e-11	1.5534e-12
5084.6500	6.4298e-11	1.6040e-12
5085.9000	6.8517e-11	1.6898e-12
5087.1500	7.1276e-11	1.7772e-12
5088.4000	7.1933e-11	1.8052e-12
5089.6500	7.2654e-11	1.7292e-12
5090.9000	7.3183e-11	1.8469e-12
5092.1500	7.4267e-11	1.8630e-12
5093.4000	7.8253e-11	1.9483e-12
5094.6500	7.8072e-11	1.8978e-12
5095.9000	7.1131e-11	1.7931e-12
5097.1500	7.0270e-11	1.7786e-12
5098.4000	7.1946e-11	1.9198e-12
5099.6500	6.6569e-11	1.7678e-12
5100.9000	6.5148e-11	1.6939e-12
5102.1500	6.9299e-11	1.7732e-12
5103.4000	7.0315e-11	1.7445e-12
5104.6500	6.9113e-11	1.7449e-12
5105.9000	6.8565e-11	1.7353e-12
5107.1500	6.7363e-11	1.7191e-12
5108.4000	6.6095e-11	1.5939e-12
5109.6500	6.7293e-11	1.6269e-12
5110.9000	6.7041e-11	1.7137e-12
5112.1500	6.7115e-11	1.7756e-12
5113.4000	6.7082e-11	1.6491e-12
5114.6500	7.0784e-11	1.6966e-12
5115.9000	7.7040e-11	1.9601e-12
5117.1500	7.8297e-11	1.9869e-12
5118.4000	7.9495e-11	2.0079e-12
5119.6500	7.7299e-11	1.9927e-12
5120.9000	7.2785e-11	1.8184e-12
5122.1500	7.0803e-11	1.8616e-12
5123.4000	6.5705e-11	1.7833e-12
5124.6500	5.9781e-11	1.5016e-12
5125.9000	6.2895e-11	1.5037e-12
5127.1500	6.5519e-11	1.6511e-12
5128.4000	6.4058e-11	1.6176e-12
5129.6500	6.1930e-11	1.4557e-12
5130.9000	6.2740e-11	1.5136e-12
5132.1500	7.0520e-11	1.8548e-12
5133.4000	7.3817e-11	1.8543e-12
5134.6500	7.3484e-11	1.8038e-12
5135.9000	7.7274e-11	2.0097e-12
5137.1500	7.7929e-11	1.9968e-12
5138.4000	7.4688e-11	1.8743e-12
5139.6500	7.0308e-11	1.7261e-12
5140.9000	7.3316e-11	1.9334e-12
5142.1500	7.4684e-11	1.8365e-12
5143.4000	6.8327e-11	1.7462e-12
5144.6500	6.8708e-11	1.7705e-12
5145.9000	6.7706e-11	1.6978e-12
5147.1500	6.3799e-11	1.6090e-12
5148.4000	6.6150e-11	1.6235e-12
5149.6500	6.9391e-11	1.7012e-12
5150.9000	6.7270e-11	1.6671e-12
5152.1500	6.1786e-11	1.6495e-12
5153.4000	5.8285e-11	1.5508e-12
5154.6500	5.9274e-11	1.4992e-12
5155.9000	6.6885e-11	1.6938e-12
5157.1500	7.6461e-11	1.9160e-12
5158.4000	8.1514e-11	2.0709e-12
5159.6500	8.0333e-11	2.0491e-12
5160.9000	8.0630e-11	1.9683e-12
5162.1500	8.2485e-11	2.0397e-12
5163.4000	7.9345e-11	2.1229e-12
5164.6500	7.6662e-11	1.9617e-12
5165.9000	6.6344e-11	1.8137e-12
5167.1500	4.8247e-11	1.4217e-12
5168.4000	3.8979e-11	9.8802e-13
5169.6500	4.1654e-11	1.0473e-12
5170.9000	4.6677e-11	1.1557e-12
5172.1500	4.2971e-11	1.2239e-12
5173.4000	3.6109e-11	1.0030e-12
5174.6500	4.0767e-11	9.6820e-13
5175.9000	5.1181e-11	1.2941e-12
5177.1500	5.6229e-11	1.4458e-12
5178.4000	5.6890e-11	1.4448e-12
5179.6500	5.5393e-11	1.4851e-12
5180.9000	5.2973e-11	1.4223e-12
5182.1500	4.8303e-11	1.3212e-12
5183.4000	4.0744e-11	1.1017e-12
5184.6500	3.9207e-11	9.3328e-13
5185.9000	5.1616e-11	1.2599e-12
5187.1500	6.4905e-11	1.6623e-12
5188.4000	6.9350e-11	1.8002e-12
5189.6500	7.0907e-11	1.7317e-12
5190.9000	7.1508e-11	1.8938e-12
5192.1500	6.2961e-11	1.6869e-12
5193.4000	5.5263e-11	1.3774e-12
5194.6500	5.9062e-11	1.5280e-12
5195.9000	6.4573e-11	1.5779e-12
5197.1500	7.0853e-11	1.8290e-12
5198.4000	7.5261e-11	1.9365e-12
5199.6500	7.5204e-11	1.8776e-12
5200.9000	7.4070e-11	1.8943e-12
5202.1500	7.1586e-11	1.7822e-12
5203.4000	6.9701e-11	1.8508e-12
5204.6500	6.3240e-11	1.6755e-12
5205.9000	5.3350e-11	1.2037e-12
5207.1500	5.0962e-11	1.2444e-12
5208.4000	4.9113e-11	1.2407e-12
5209.6500	4.6746e-11	1.1767e-12
5210.9000	5.1447e-11	1.3359e-12
5212.1500	6.4102e-11	1.7083e-12
5213.4000	7.6714e-11	1.9785e-12
5214.6500	8.1502e-11	2.0842e-12
5215.9000	7.9875e-11	2.0354e-12
5217.1500	7.8392e-11	1.9191e-12
5218.4000	8.1359e-11	2.1025e-12
5219.6500	8.2705e-11	2.0995e-12
5220.9000	8.3571e-11	2.0987e-12
5222.1500	8.5871e-11	2.1266e-12
5223.4000	8.1959e-11	1.9484e-12
5224.6500	7.1820e-11	1.9010e-12
5225.9000	6.4581e-11	1.6917e-12
5227.1500	6.2706e-11	1.5976e-12
5228.4000	7.0584e-11	1.7083e-12
5229.6500	8.3661e-11	2.0016e-12
5230.9000	8.9120e-11	2.2161e-12
5232.1500	8.9703e-11	2.1057e-12
5233.4000	8.4509e-11	2.1261e-12
5234.6500	8.0028e-11	2.0307e-12
5235.9000	8.3828e-11	2.1153e-12
5237.1500	9.0130e-11	2.1884e-12
5238.4000	9.1080e-11	2.2851e-12
5239.6500	8.6557e-11	2.1898e-12
5240.9000	8.3222e-11	2.0509e-12
5242.1500	8.4982e-11	2.0835e-12
5243.4000	8.8127e-11	2.2389e-12
5244.6500	9.0437e-11	2.2321e-12
5245.9000	8.7794e-11	2.2476e-12
5247.1500	7.3044e-11	1.9483e-12
5248.4000	6.6791e-11	1.5829e-12
5249.6500	7.5073e-11	1.8749e-12
5250.9000	7.3383e-11	1.9941e-12
5252.1500	7.0329e-11	1.6285e-12
5253.4000	7.7354e-11	1.9251e-12
5254.6500	8.0449e-11	2.0649e-12
5255.9000	7.7310e-11	1.9256e-12
5257.1500	8.2980e-11	1.9126e-12
5258.4000	9.2761e-11	2.3451e-12
5259.6500	9.3970e-11	2.3726e-12
5260.9000	8.9972e-11	2.2881e-12
5262.1500	8.4099e-11	2.2607e-12
5263.4000	7.6752e-11	1.9209e-12
5264.6500	7.0438e-11	1.8250e-12
5265.9000	6.5846e-11	1.5857e-12
5267.1500	6.8967e-11	1.6747e-12
5268.4000	7.6837e-11	2.1106e-12
5269.6500	6.5540e-11	1.6093e-12
5270.9000	5.6934e-11	1.2123e-12
5272.1500	7.2731e-11	1.8687e-12
5273.4000	8.4985e-11	2.1453e-12
5274.6500	8.6910e-11	2.2300e-12
5275.9000	8.4662e-11	2.0628e-12
5277.1500	8.6807e-11	2.0743e-12
5278.4000	9.5244e-11	2.3870e-12
5279.6500	9.7458e-11	2.3783e-12
5280.9000	9.3388e-11	2.2235e-12
5282.1500	8.7783e-11	2.1654e-12
5283.4000	8.3382e-11	2.0029e-12
5284.6500	8.4246e-11	2.2103e-12
5285.9000	9.3596e-11	2.4261e-12
5287.1500	1.0138e-10	2.3593e-12
5288.4000	9.9216e-11	2.3953e-12
5289.6500	9.4826e-11	2.3909e-12
5290.9000	9.5560e-11	2.4337e-12
5292.1500	9.7952e-11	2.3809e-12
5293.4000	9.7708e-11	2.4307e-12
5294.6500	9.7569e-11	2.4108e-12
5295.9000	9.4608e-11	2.2442e-12
5297.1500	8.3562e-11	2.0652e-12
5298.4000	7.4522e-11	1.8775e-12
5299.6500	7.9479e-11	1.9869e-12
5300.9000	8.6079e-11	2.0693e-12
5302.1500	8.7096e-11	2.1167e-12
5303.4000	9.2463e-11	2.1603e-12
5304.6500	1.0067e-10	2.4035e-12
5305.9000	1.0452e-10	2.5083e-12
5307.1500	1.0097e-10	2.5047e-12
5308.4000	9.6954e-11	2.3647e-12
5309.6500	9.9600e-11	2.3416e-12
5310.9000	1.0222e-10	2.5126e-12
5312.1500	1.0023e-10	2.5075e-12
5313.4000	9.7333e-11	2.4241e-12
5314.6500	9.7273e-11	2.3598e-12
5315.9000	9.9453e-11	2.4042e-12
5317.1500	9.9422e-11	2.3940e-12
5318.4000	9.7891e-11	2.4351e-12
5319.6500	9.6019e-11	2.3817e-12
5320.9000	9.5592e-11	2.2920e-12
5322.1500	9.6548e-11	2.3224e-12
5323.4000	9.5135e-11	2.4370e-12
5324.6500	9.1794e-11	2.1978e-12
5325.9000	9.3777e-11	2.1233e-12
5327.1500	9.2018e-11	2.4525e-12
5328.4000	7.3134e-11	1.9685e-12
5329.6500	6.5604e-11	1.5348e-12
5330.9000	7.9948e-11	1.9593e-12
5332.1500	9.0099e-11	2.2811e-12
5333.4000	9.1801e-11	2.2522e-12
5334.6500	9.6065e-11	2.2589e-12
5335.9000	1.0092e-10	2.5566e-12
5337.1500	9.8640e-11	2.3661e-12
5338.4000	9.6438e-11	2.3091e-12
5339.6500	9.4427e-11	2.3844e-12
5340.9000	8.5837e-11	2.0897e-12
5342.1500	8.4768e-11	1.9889e-12
5343.4000	9.1969e-11	2.3233e-12
5344.6500	9.4487e-11	2.2908e-12
5345.9000	9.2857e-11	2.1947e-12
5347.1500	9.4056e-11	2.2070e-12
5348.4000	9.4776e-11	2.3895e-12
5349.6500	8.8710e-11	2.0693e-12
5350.9000	8.9905e-11	2.0694e-12
5352.1500	9.9011e-11	2.4702e-12
5353.4000	1.0301e-10	2.4399e-12
5354.6500	1.0467e-10	2.4863e-12
5355.9000	1.0704e-10	2.5506e-12
5357.1500	1.0731e-10	2.5105e-12
5358.4000	1.0795e-10	2.5220e-12
5359.6500	1.0792e-10	2.6685e-12
5360.9000	1.0489e-10	2.5277e-12
5362.1500	9.9433e-11	2.3746e-12
5363.4000	9.7992e-11	2.3682e-12
5364.6500	9.9798e-11	2.4273e-12
5365.9000	9.8803e-11	2.3137e-12
5367.1500	9.7753e-11	2.3393e-12
5368.4000	9.9287e-11	2.3784e-12
5369.6500	9.6447e-11	2.3006e-12
5370.9000	8.6554e-11	2.1111e-12
5372.1500	8.0998e-11	1.9693e-12
5373.4000	9.0714e-11	2.2121e-12
5374.6500	1.0320e-10	2.3845e-12
5375.9000	1.0541e-10	2.4653e-12
5377.1500	1.0148e-10	2.3721e-12
5378.4000	1.0245e-10	2.4883e-12
5379.6500	1.0733e-10	2.5835e-12
5380.9000	1.0539e-10	2.5057e-12
5382.1500	1.0153e-10	2.3508e-12
5383.4000	9.9635e-11	2.3235e-12
5384.6500	9.8236e-11	2.3711e-12
5385.9000	9.9313e-11	2.3569e-12
5387.1500	1.0146e-10	2.3824e-12
5388.4000	1.0083e-10	2.4557e-12
5389.6500	9.5173e-11	2.3014e-12
5390.9000	8.9060e-11	2.0931e-12
5392.1500	8.9757e-11	2.0072e-12
5393.4000	9.4251e-11	2.1677e-12
5394.6500	9.4414e-11	2.2548e-12
5395.9000	9.1519e-11	2.0843e-12
5397.1500	8.3430e-11	2.0233e-12
5398.4000	8.3132e-11	1.8649e-12
5399.6500	9.6301e-11	2.1562e-12
5400.9000	9.9371e-11	2.3988e-12
5402.1500	9.6575e-11	2.1731e-12
5403.4000	9.7509e-11	2.3117e-12
5404.6500	9.2599e-11	2.3054e-12
5405.9000	8.2370e-11	1.8718e-12
5407.1500	8.1712e-11	1.8935e-12
5408.4000	8.8630e-11	2.1017e-12
5409.6500	8.6375e-11	2.0743e-12
5410.9000	8.4726e-11	1.9850e-12
5412.1500	9.4235e-11	2.1504e-12
5413.4000	1.0174e-10	2.3116e-12
5414.6500	1.0403e-10	2.3939e-12
5415.9000	1.0443e-10	2.4637e-12
5417.1500	1.0636e-10	2.5082e-12
5418.4000	1.0779e-10	2.5175e-12
5419.6500	1.0427e-10	2.4591e-12
5420.9000	1.0004e-10	2.3034e-12
5422.1500	1.0187e-10	2.2731e-12
5423.4000	1.0580e-10	2.5061e-12
5424.6500	1.0238e-10	2.3482e-12
5425.9000	1.0020e-10	2.3116e-12
5427.1500	1.0482e-10	2.4851e-12
5428.4000	1.0790e-10	2.7372e-12
5429.6500	9.5540e-11	2.1346e-12
5430.9000	8.8424e-11	1.9592e-12
5432.1500	9.5480e-11	2.3097e-12
5433.4000	9.4762e-11	2.2126e-12
5434.6500	9.0059e-11	1.9440e-12
5435.9000	8.9148e-11	1.9943e-12
5437.1500	9.1186e-11	2.1256e-12
5438.4000	9.4992e-11	2.2460e-12
5439.6500	1.0135e-10	2.3490e-12
5440.9000	1.0729e-10	2.3917e-12
5442.1500	1.1019e-10	2.4318e-12
5443.4000	1.1176e-10	2.5362e-12
5444.6500	1.1080e-10	2.5110e-12
5445.9000	1.0145e-10	2.2477e-12
5447.1500	8.5306e-11	1.9325e-12
5448.4000	7.9651e-11	1.7319e-12
5449.6500	8.3921e-11	1.8592e-12
5450.9000	8.6362e-11	1.9568e-12
5452.1500	8.6725e-11	1.9705e-12
5453.4000	8.5449e-11	1.8987e-12
5454.6500	8.2358e-11	1.8656e-12
5455.9000	7.6092e-11	1.7707e-12
5457.1500	7.6770e-11	1.7600e-12
5458.4000	8.5598e-11	1.9509e-12
5459.6500	8.9860e-11	1.9856e-12
5460.9000	8.6494e-11	1.9334e-12
5462.1500	8.5343e-11	1.8806e-12
5463.4000	8.6674e-11	1.9918e-12
5464.6500	8.7256e-11	2.0092e-12
5465.9000	8.9186e-11	1.9792e-12
5467.1500	9.0347e-11	2.0077e-12
5468.4000	9.2865e-11	2.0124e-12
5469.6500	9.2444e-11	2.0743e-12
5470.9000	8.7678e-11	2.0218e-12
5472.1500	8.7605e-11	1.9706e-12
5473.4000	8.8302e-11	1.9076e-12
5474.6500	8.5085e-11	1.9270e-12
5475.9000	8.5305e-11	1.8782e-12
5477.1500	8.2845e-11	1.8548e-12
5478.4000	8.3613e-11	1.8413e-12
5479.6500	9.2587e-11	2.0288e-12
5480.9000	9.3014e-11	2.1193e-12
5482.1500	8.5040e-11	2.0005e-12
5483.4000	8.4934e-11	1.8735e-12
5484.6500	9.2454e-11	2.0346e-12
5485.9000	9.7798e-11	2.1121e-12
5487.1500	9.6506e-11	2.1209e-12
5488.4000	9.1359e-11	1.9458e-12
5489.6500	9.1809e-11	2.0122e-12
5490.9000	9.0931e-11	2.0334e-12
5492.1500	9.2250e-11	1.9569e-12
5493.4000	9.6361e-11	2.1159e-12
5494.6500	9.4968e-11	2.0814e-12
5495.9000	9.5445e-11	2.0751e-12
5497.1500	9.3275e-11	2.1099e-12
5498.4000	8.8730e-11	1.8588e-12
5499.6500	9.2908e-11	1.9834e-12
5500.9000	9.5138e-11	2.1795e-12
5502.1500	8.9861e-11	1.9754e-12
5503.4000	9.0445e-11	1.9025e-12
5504.6500	9.2768e-11	2.0310e-12
5505.9000	9.0866e-11	2.0346e-12
5507.1500	8.5870e-11	1.7445e-12
5508.4000	8.9180e-11	1.9702e-12
5509.6500	9.6093e-11	2.0638e-12
5510.9000	9.4796e-11	2.1047e-12
5512.1500	8.8246e-11	1.9346e-12
5513.4000	8.3255e-11	1.8386e-12
5514.6500	8.1158e-11	1.7392e-12
5515.9000	8.1949e-11	1.7428e-12
5517.1500	8.7124e-11	1.7832e-12
5518.4000	9.4494e-11	1.9712e-12
5519.6500	1.0159e-10	2.2600e-12
5520.9000	1.0231e-10	2.1843e-12
5522.1500	1.0170e-10	2.2064e-12
5523.4000	1.0196e-10	2.2487e-12
5524.6500	1.0164e-10	2.2148e-12
5525.9000	1.0092e-10	2.1952e-12
5527.1500	9.7586e-11	2.1758e-12
5528.4000	9.0790e-11	1.9177e-12
5529.6500	9.1132e-11	1.9746e-12
5530.9000	9.8417e-11	2.1884e-12
5532.1500	1.0033e-10	2.0823e-12
5533.4000	9.7872e-11	1.9997e-12
5534.6500	9.7111e-11	2.0188e-12
5535.9000	9.7036e-11	2.0628e-12
5537.1500	9.8642e-11	2.1526e-12
5538.4000	9.9087e-11	2.0392e-12
5539.6500	9.9591e-11	2.1721e-12
