lambda	Flux	e_Flux
0.1nm	10-2W/m2/nm	10-2W/m2/nm
---------	----------	----------
4750.3900	1.9942e-12	5.2144e-14
4751.6400	2.0960e-12	2.0168e-14
4752.8900	2.0785e-12	1.9286e-14
4754.1400	2.0594e-12	2.1370e-14
4755.3900	2.0410e-12	2.3028e-14
4756.6400	2.0674e-12	2.2576e-14
4757.8900	2.0871e-12	2.1879e-14
4759.1400	2.0821e-12	2.0918e-14
4760.3900	2.0644e-12	1.8247e-14
4761.6400	2.0116e-12	2.1202e-14
4762.8900	2.0098e-12	1.9614e-14
4764.1400	2.0303e-12	2.1995e-14
4765.3900	2.0564e-12	2.1242e-14
4766.6400	2.0520e-12	2.2092e-14
4767.8900	2.0562e-12	2.2977e-14
4769.1400	2.0600e-12	2.3840e-14
4770.3900	2.0673e-12	2.2791e-14
4771.6400	2.0372e-12	2.1028e-14
4772.8900	2.0233e-12	2.0178e-14
4774.1400	2.0442e-12	1.6878e-14
4775.3900	2.0601e-12	1.8095e-14
4776.6400	2.0670e-12	2.1481e-14
4777.8900	2.0567e-12	2.4215e-14
4779.1400	2.0371e-12	2.0854e-14
4780.3900	2.0426e-12	2.1140e-14
4781.6400	2.0431e-12	2.0374e-14
4782.8900	2.0313e-12	1.9555e-14
4784.1400	2.0352e-12	2.3353e-14
4785.3900	2.0170e-12	2.4625e-14
4786.6400	2.0053e-12	2.2366e-14
4787.8900	2.0146e-12	2.2161e-14
4789.1400	2.0177e-12	2.1707e-14
4790.3900	2.0346e-12	2.0520e-14
4791.6400	2.0459e-12	2.3021e-14
4792.8900	2.0551e-12	2.0861e-14
4794.1400	2.0650e-12	2.0397e-14
4795.3900	2.0639e-12	2.2754e-14
4796.6400	2.0492e-12	2.1424e-14
4797.8900	2.0308e-12	1.9118e-14
4799.1400	2.0263e-12	2.0781e-14
4800.3900	2.0373e-12	1.9311e-14
4801.6400	2.0467e-12	2.0303e-14
4802.8900	2.0379e-12	2.0740e-14
4804.1400	2.0086e-12	1.9837e-14
4805.3900	2.0113e-12	1.9778e-14
4806.6400	2.0315e-12	1.9021e-14
4807.8900	2.0358e-12	1.8651e-14
4809.1400	2.0285e-12	1.8673e-14
4810.3900	2.0253e-12	2.0331e-14
4811.6400	2.0371e-12	1.8935e-14
4812.8900	2.0475e-12	1.9291e-14
4814.1400	2.0498e-12	2.1109e-14
4815.3900	2.0549e-12	2.3874e-14
4816.6400	2.0514e-12	2.0025e-14
4817.8900	2.0526e-12	2.1585e-14
4819.1400	2.0516e-12	2.1196e-14
4820.3900	2.0468e-12	2.0468e-14
4821.6400	2.0208e-12	2.2253e-14
4822.8900	1.9847e-12	2.2305e-14
4824.1400	1.9950e-12	1.9887e-14
4825.3900	2.0339e-12	2.1570e-14
4826.6400	2.0397e-12	1.8867e-14
4827.8900	2.0225e-12	1.9394e-14
4829.1400	2.0165e-12	1.9520e-14
4830.3900	2.0176e-12	1.9765e-14
4831.6400	2.0200e-12	2.1475e-14
4832.8900	2.0264e-12	2.1772e-14
4834.1400	2.0305e-12	1.9643e-14
4835.3900	2.0250e-12	2.1134e-14
4836.6400	2.0227e-12	1.9830e-14
4837.8900	2.0079e-12	1.9575e-14
4839.1400	1.9904e-12	2.0995e-14
4840.3900	1.9891e-12	2.1094e-14
4841.6400	1.9973e-12	1.9823e-14
4842.8900	1.9977e-12	2.1202e-14
4844.1400	2.0040e-12	2.1291e-14
4845.3900	2.0011e-12	2.1113e-14
4846.6400	1.9780e-12	1.9847e-14
4847.8900	1.9584e-12	2.0541e-14
4849.1400	1.9604e-12	1.9365e-14
4850.3900	1.9619e-12	1.9240e-14
4851.6400	1.9443e-12	1.9034e-14
4852.8900	1.9141e-12	1.8019e-14
4854.1400	1.8513e-12	2.0969e-14
