lambda	Flux	e_Flux
4855.3900	1.8048e-12	1.9567e-14
4856.6400	1.7760e-12	1.6567e-14
4857.8900	1.6629e-12	1.9218e-14
4859.1400	1.3959e-12	2.0780e-14
4860.3900	1.1422e-12	1.8691e-14
4861.6400	1.2534e-12	8.2865e-15
4862.8900	1.5528e-12	9.9968e-15
4864.1400	1.7171e-12	1.6023e-14
4865.3900	1.7977e-12	1.7586e-14
4866.6400	1.8574e-12	1.8646e-14
4867.8900	1.8976e-12	1.8753e-14
4869.1400	1.8898e-12	1.8588e-14
4870.3900	1.8345e-12	1.9525e-14
4871.6400	1.8388e-12	1.8089e-14
4872.8900	1.9120e-12	1.8070e-14
4874.1400	1.9537e-12	2.0325e-14
4875.3900	1.9553e-12	2.0047e-14
4876.6400	1.9300e-12	1.8364e-14
4877.8900	1.9286e-12	1.9063e-14
4879.1400	1.9806e-12	1.9531e-14
4880.3900	1.9986e-12	2.0717e-14
4881.6400	1.9847e-12	1.8031e-14
4882.8900	1.9794e-12	1.9317e-14
4884.1400	1.9693e-12	2.0855e-14
4885.3900	1.9621e-12	1.9782e-14
4886.6400	1.9692e-12	1.9778e-14
4887.8900	1.9671e-12	1.9652e-14
4889.1400	1.9272e-12	1.9143e-14
4890.3900	1.8709e-12	1.6552e-14
4891.6400	1.9226e-12	1.8283e-14
4892.8900	2.0129e-12	1.7434e-14
4894.1400	2.0382e-12	1.9497e-14
4895.3900	2.0425e-12	1.8798e-14
4896.6400	2.0420e-12	1.8504e-14
4897.8900	2.0286e-12	2.0107e-14
4899.1400	2.0046e-12	2.0088e-14
4900.3900	2.0095e-12	1.8564e-14
4901.6400	2.0016e-12	1.8441e-14
4902.8900	1.9738e-12	1.9665e-14
4904.1400	1.9967e-12	1.8271e-14
4905.3900	2.0328e-12	2.0315e-14
4906.6400	2.0316e-12	1.8924e-14
4907.8900	2.0124e-12	2.0387e-14
4909.1400	1.9744e-12	1.9719e-14
4910.3900	1.9681e-12	1.6919e-14
4911.6400	2.0013e-12	1.7426e-14
4912.8900	2.0219e-12	1.9703e-14
4914.1400	2.0343e-12	1.9568e-14
4915.3900	2.0370e-12	1.8134e-14
4916.6400	1.9942e-12	2.0031e-14
4917.8900	1.9200e-12	1.9223e-14
4919.1400	1.8689e-12	1.8637e-14
4920.3900	1.9016e-12	1.5405e-14
4921.6400	1.9545e-12	1.7791e-14
4922.8900	1.9437e-12	1.8481e-14
4924.1400	1.9514e-12	1.7151e-14
4925.3900	2.0052e-12	1.8908e-14
4926.6400	2.0284e-12	2.1239e-14
4927.8900	2.0322e-12	2.0060e-14
4929.1400	2.0362e-12	1.8271e-14
4930.3900	2.0369e-12	1.8784e-14
4931.6400	2.0039e-12	2.0014e-14
4932.8900	1.9391e-12	1.7554e-14
4934.1400	1.9450e-12	1.7640e-14
4935.3900	1.9979e-12	1.6904e-14
4936.6400	1.9821e-12	1.7932e-14
4937.8900	1.9319e-12	1.8275e-14
4939.1400	1.9452e-12	1.6734e-14
4940.3900	2.0088e-12	1.6008e-14
4941.6400	2.0366e-12	1.7042e-14
4942.8900	2.0411e-12	1.9104e-14
4944.1400	2.0335e-12	1.8528e-14
4945.3900	2.0116e-12	2.0048e-14
4946.6400	2.0205e-12	1.7285e-14
4947.8900	2.0363e-12	1.6470e-14
4949.1400	2.0347e-12	2.1005e-14
4950.3900	2.0358e-12	1.9826e-14
4951.6400	2.0344e-12	1.8718e-14
4952.8900	2.0310e-12	1.7833e-14
4954.1400	2.0288e-12	1.6939e-14
4955.3900	1.9591e-12	1.7546e-14
4956.6400	1.8507e-12	1.9233e-14
4957.8900	1.9039e-12	1.6761e-14
4959.1400	2.0210e-12	1.6947e-14
4960.3900	2.0410e-12	1.9772e-14
4961.6400	2.0372e-12	1.8095e-14
4962.8900	2.0361e-12	1.7054e-14
4964.1400	2.0182e-12	1.8405e-14
4965.3900	1.9943e-12	2.0718e-14
4966.6400	1.9978e-12	1.7693e-14
4967.8900	2.0031e-12	1.6998e-14
4969.1400	2.0022e-12	1.6531e-14
4970.3900	2.0098e-12	1.6716e-14
4971.6400	2.0155e-12	1.7405e-14
4972.8900	2.0173e-12	1.7763e-14
4974.1400	2.0283e-12	1.6656e-14
4975.3900	2.0303e-12	1.8012e-14
4976.6400	2.0182e-12	1.7634e-14
4977.8900	2.0022e-12	1.7261e-14
4979.1400	1.9798e-12	1.8363e-14
4980.3900	1.9371e-12	1.9031e-14
4981.6400	1.8822e-12	1.7294e-14
4982.8900	1.8671e-12	1.8813e-14
4984.1400	1.8978e-12	1.8191e-14
4985.3900	1.9531e-12	1.8818e-14
4986.6400	2.0012e-12	1.7793e-14
4987.8900	2.0046e-12	1.7900e-14
4989.1400	1.9783e-12	1.6515e-14
4990.3900	1.9548e-12	2.0569e-14
4991.6400	1.9676e-12	1.9728e-14
4992.8900	1.9750e-12	1.8323e-14
4994.1400	1.9792e-12	1.7330e-14
4995.3900	2.0023e-12	1.8581e-14
4996.6400	2.0039e-12	1.9093e-14
4997.8900	1.9785e-12	2.0464e-14
4999.1400	1.9476e-12	1.7405e-14
5000.3900	1.9357e-12	1.8070e-14
5001.6400	1.9443e-12	1.7380e-14
5002.8900	1.9685e-12	1.7392e-14
5004.1400	1.9347e-12	1.9171e-14
5005.3900	1.8643e-12	1.7903e-14
5006.6400	1.8900e-12	1.7788e-14
5007.8900	1.9701e-12	1.6586e-14
5009.1400	1.9912e-12	1.7863e-14
5010.3900	1.9537e-12	2.0243e-14
5011.6400	1.9059e-12	1.8026e-14
5012.8900	1.8751e-12	1.7989e-14
5014.1400	1.8860e-12	1.7506e-14
5015.3900	1.9249e-12	1.6949e-14
5016.6400	1.8987e-12	1.9771e-14
5017.8900	1.8748e-12	1.7165e-14
5019.1400	1.9228e-12	1.5849e-14
5020.3900	1.9498e-12	2.0110e-14
5021.6400	1.9388e-12	2.0342e-14
5022.8900	1.9505e-12	1.8739e-14
5024.1400	1.9674e-12	1.8629e-14
5025.3900	1.9555e-12	1.8138e-14
5026.6400	1.9386e-12	1.8383e-14
5027.8900	1.9498e-12	1.8429e-14
5029.1400	1.9636e-12	1.8875e-14
5030.3900	1.9631e-12	1.8786e-14
5031.6400	1.9805e-12	1.7746e-14
5032.8900	1.9831e-12	1.8048e-14
5034.1400	1.9393e-12	1.9162e-14
5035.3900	1.9073e-12	1.6608e-14
5036.6400	1.9282e-12	1.6997e-14
5037.8900	1.9236e-12	1.7087e-14
5039.1400	1.8709e-12	1.8927e-14
5040.3900	1.8123e-12	1.7889e-14
5041.6400	1.8514e-12	1.5216e-14
5042.8900	1.9392e-12	1.6880e-14
5044.1400	1.9713e-12	1.7002e-14
5045.3900	1.9775e-12	1.7979e-14
5046.6400	1.9648e-12	1.8423e-14
5047.8900	1.9251e-12	1.9529e-14
5049.1400	1.8951e-12	1.7732e-14
5050.3900	1.8928e-12	1.6405e-14
5051.6400	1.9173e-12	1.7714e-14
5052.8900	1.9533e-12	1.7754e-14
5054.1400	1.9696e-12	1.7501e-14
5055.3900	1.9698e-12	1.9021e-14
5056.6400	1.9704e-12	1.8701e-14
5057.8900	1.9710e-12	1.7798e-14
5059.1400	1.9692e-12	1.7583e-14
5060.3900	1.9705e-12	1.7661e-14
5061.6400	1.9691e-12	1.6962e-14
5062.8900	1.9400e-12	1.4931e-14
5064.1400	1.8966e-12	1.5909e-14
5065.3900	1.9082e-12	1.6960e-14
5066.6400	1.9292e-12	1.4668e-14
5067.8900	1.9143e-12	1.7651e-14
5069.1400	1.9307e-12	1.6639e-14
5070.3900	1.9401e-12	1.9073e-14
5071.6400	1.9209e-12	1.5743e-14
5072.8900	1.9192e-12	1.7015e-14
5074.1400	1.9157e-12	1.7765e-14
5075.3900	1.9264e-12	1.6341e-14
5076.6400	1.9328e-12	1.5396e-14
5077.8900	1.8754e-12	1.7970e-14
5079.1400	1.8169e-12	1.5329e-14
5080.3900	1.8470e-12	1.5994e-14
5081.6400	1.8797e-12	1.6768e-14
5082.8900	1.8792e-12	1.7227e-14
5084.1400	1.9089e-12	1.5949e-14
5085.3900	1.9381e-12	1.7568e-14
5086.6400	1.9322e-12	1.8191e-14
5087.8900	1.9335e-12	1.8550e-14
5089.1400	1.9327e-12	2.0875e-14
5090.3900	1.9278e-12	1.8232e-14
5091.6400	1.9396e-12	1.8345e-14
5092.8900	1.9477e-12	1.6975e-14
5094.1400	1.9443e-12	1.6541e-14
5095.3900	1.9214e-12	1.7435e-14
5096.6400	1.8797e-12	1.6445e-14
5097.8900	1.8484e-12	1.4750e-14
5099.1400	1.8659e-12	1.5075e-14
5100.3900	1.9134e-12	1.6374e-14
5101.6400	1.9343e-12	1.6345e-14
5102.8900	1.9322e-12	1.6043e-14
5104.1400	1.9249e-12	1.5993e-14
5105.3900	1.8968e-12	1.5084e-14
5106.6400	1.8590e-12	1.6240e-14
5107.8900	1.8576e-12	1.6584e-14
5109.1400	1.8658e-12	1.5886e-14
5110.3900	1.8777e-12	1.5184e-14
5111.6400	1.9178e-12	1.7073e-14
5112.8900	1.9263e-12	1.6444e-14
5114.1400	1.9169e-12	1.3864e-14
5115.3900	1.9160e-12	1.7189e-14
5116.6400	1.9275e-12	1.7740e-14
5117.8900	1.9306e-12	1.8265e-14
5119.1400	1.9226e-12	1.6993e-14
5120.3900	1.9079e-12	1.7706e-14
5121.6400	1.8889e-12	1.6381e-14
5122.8900	1.8595e-12	1.7244e-14
5124.1400	1.8464e-12	1.6999e-14
5125.3900	1.8588e-12	1.5669e-14
5126.6400	1.8651e-12	1.3643e-14
5127.8900	1.8579e-12	1.6138e-14
5129.1400	1.8652e-12	1.5717e-14
5130.3900	1.8805e-12	1.6738e-14
5131.6400	1.8765e-12	1.6386e-14
5132.8900	1.8635e-12	1.8344e-14
5134.1400	1.8826e-12	1.5356e-14
5135.3900	1.8831e-12	1.5982e-14
5136.6400	1.8447e-12	1.6328e-14
5137.8900	1.7983e-12	1.6686e-14
5139.1400	1.7994e-12	1.5556e-14
5140.3900	1.8398e-12	1.4152e-14
5141.6400	1.8170e-12	1.7478e-14
5142.8900	1.8380e-12	1.3728e-14
5144.1400	1.8823e-12	1.6437e-14
5145.3900	1.8737e-12	1.6854e-14
5146.6400	1.8576e-12	1.7609e-14
5147.8900	1.8678e-12	1.5349e-14
5149.1400	1.8732e-12	1.6674e-14
5150.3900	1.8522e-12	1.7246e-14
5151.6400	1.8516e-12	1.5669e-14
5152.8900	1.8562e-12	1.6938e-14
5154.1400	1.8605e-12	1.6569e-14
5155.3900	1.8849e-12	1.6345e-14
5156.6400	1.8992e-12	1.5763e-14
5157.8900	1.8972e-12	1.5835e-14
5159.1400	1.8966e-12	1.5717e-14
5160.3900	1.8799e-12	1.7086e-14
5161.6400	1.8583e-12	1.4738e-14
5162.8900	1.8686e-12	1.6710e-14
5164.1400	1.8441e-12	1.6647e-14
5165.3900	1.7097e-12	1.7181e-14
5166.6400	1.5768e-12	1.3762e-14
5167.8900	1.6129e-12	1.3284e-14
5169.1400	1.7316e-12	1.6081e-14
5170.3900	1.6931e-12	1.9273e-14
5171.6400	1.5393e-12	1.4796e-14
5172.8900	1.6043e-12	1.0399e-14
5174.1400	1.8039e-12	1.4902e-14
5175.3900	1.8779e-12	1.5896e-14
5176.6400	1.8875e-12	1.6232e-14
5177.8900	1.8895e-12	1.5802e-14
5179.1400	1.8837e-12	1.5761e-14
5180.3900	1.8442e-12	1.7015e-14
5181.6400	1.6792e-12	1.4859e-14
5182.8900	1.4962e-12	1.4776e-14
5184.1400	1.5994e-12	1.3520e-14
5185.3900	1.7954e-12	1.5071e-14
5186.6400	1.8303e-12	1.4033e-14
5187.8900	1.7994e-12	1.6330e-14
5189.1400	1.8117e-12	1.5300e-14
5190.3900	1.7991e-12	1.3649e-14
5191.6400	1.7564e-12	1.6295e-14
5192.8900	1.7935e-12	1.4344e-14
5194.1400	1.8031e-12	1.5312e-14
5195.3900	1.8055e-12	1.6662e-14
5196.6400	1.8277e-12	1.9074e-14
5197.8900	1.8374e-12	1.6631e-14
5199.1400	1.8638e-12	1.6397e-14
5200.3900	1.8615e-12	1.5399e-14
5201.6400	1.8380e-12	1.5562e-14
5202.8900	1.8143e-12	1.5664e-14
5204.1400	1.7743e-12	1.6235e-14
5205.3900	1.7746e-12	1.6176e-14
5206.6400	1.7875e-12	1.7740e-14
5207.8900	1.7725e-12	1.4728e-14
5209.1400	1.8059e-12	1.3281e-14
5210.3900	1.8518e-12	1.5705e-14
5211.6400	1.8791e-12	1.5319e-14
5212.8900	1.8784e-12	1.5371e-14
5214.1400	1.8355e-12	1.7324e-14
5215.3900	1.7984e-12	1.6090e-14
5216.6400	1.8148e-12	1.4425e-14
5217.8900	1.8608e-12	1.3760e-14
5219.1400	1.8869e-12	1.4465e-14
5220.3900	1.8893e-12	1.5880e-14
5221.6400	1.8876e-12	1.5329e-14
5222.8900	1.8733e-12	1.5664e-14
5224.1400	1.8347e-12	1.5409e-14
5225.3900	1.7311e-12	1.5279e-14
5226.6400	1.7050e-12	1.2172e-14
5227.8900	1.7930e-12	1.3688e-14
5229.1400	1.8414e-12	1.3871e-14
5230.3900	1.8465e-12	1.3054e-14
5231.6400	1.8112e-12	1.5471e-14
5232.8900	1.7868e-12	1.4100e-14
5234.1400	1.8125e-12	1.3622e-14
5235.3900	1.8457e-12	1.3532e-14
5236.6400	1.8668e-12	1.4812e-14
5237.8900	1.8708e-12	1.3668e-14
5239.1400	1.8731e-12	1.4976e-14
5240.3900	1.8710e-12	1.7818e-14
5241.6400	1.8616e-12	1.4768e-14
5242.8900	1.8637e-12	1.4607e-14
5244.1400	1.8791e-12	1.4785e-14
5245.3900	1.8724e-12	1.4352e-14
5246.6400	1.8598e-12	1.4350e-14
5247.8900	1.8577e-12	1.3438e-14
5249.1400	1.8450e-12	1.3463e-14
5250.3900	1.8395e-12	1.2690e-14
5251.6400	1.8571e-12	1.5100e-14
5252.8900	1.8558e-12	1.2772e-14
5254.1400	1.8480e-12	1.3649e-14
5255.3900	1.8625e-12	1.5804e-14
5256.6400	1.8814e-12	1.4328e-14
5257.8900	1.8826e-12	1.5069e-14
5259.1400	1.8690e-12	1.4794e-14
5260.3900	1.8205e-12	1.4405e-14
5261.6400	1.7632e-12	1.2812e-14
5262.8900	1.7425e-12	1.3085e-14
5264.1400	1.7276e-12	1.3644e-14
5265.3900	1.7287e-12	1.4962e-14
5266.6400	1.7743e-12	1.2952e-14
5267.8900	1.7529e-12	1.3253e-14
5269.1400	1.6642e-12	1.5148e-14
5270.3900	1.7274e-12	1.2978e-14
5271.6400	1.8088e-12	1.3689e-14
5272.8900	1.8065e-12	1.4475e-14
5274.1400	1.7999e-12	1.6428e-14
5275.3900	1.8016e-12	1.3760e-14
5276.6400	1.8439e-12	1.2802e-14
5277.8900	1.8707e-12	1.4687e-14
5279.1400	1.8590e-12	1.4778e-14
5280.3900	1.8261e-12	1.6111e-14
5281.6400	1.7982e-12	1.3912e-14
5282.8900	1.7841e-12	1.4350e-14
5284.1400	1.8221e-12	1.3635e-14
5285.3900	1.8673e-12	1.3764e-14
5286.6400	1.8732e-12	1.5705e-14
5287.8900	1.8694e-12	1.3375e-14
5289.1400	1.8726e-12	1.4212e-14
5290.3900	1.8757e-12	1.4026e-14
5291.6400	1.8732e-12	1.3477e-14
5292.8900	1.8720e-12	1.4242e-14
5294.1400	1.8659e-12	1.3685e-14
5295.3900	1.8406e-12	1.4839e-14
5296.6400	1.8044e-12	1.4970e-14
5297.8900	1.8105e-12	1.2893e-14
5299.1400	1.8449e-12	1.4835e-14
5300.3900	1.8415e-12	1.3370e-14
5301.6400	1.8261e-12	1.3614e-14
5302.8900	1.8459e-12	1.1862e-14
5304.1400	1.8651e-12	1.3096e-14
5305.3900	1.8563e-12	1.3945e-14
5306.6400	1.8462e-12	1.1974e-14
5307.8900	1.8556e-12	1.1178e-14
5309.1400	1.8715e-12	1.3496e-14
5310.3900	1.8724e-12	1.4700e-14
5311.6400	1.8676e-12	1.4458e-14
5312.8900	1.8641e-12	1.4516e-14
5314.1400	1.8501e-12	1.4062e-14
5315.3900	1.8092e-12	1.3441e-14
5316.6400	1.8069e-12	1.2567e-14
5317.8900	1.8480e-12	1.2231e-14
5319.1400	1.8635e-12	1.3435e-14
5320.3900	1.8580e-12	1.3918e-14
5321.6400	1.8432e-12	1.4302e-14
5322.8900	1.8040e-12	1.5512e-14
5324.1400	1.7940e-12	1.4482e-14
5325.3900	1.8133e-12	1.2797e-14
5326.6400	1.7432e-12	1.2058e-14
5327.8900	1.6900e-12	1.3717e-14
5329.1400	1.7732e-12	1.2863e-14
5330.3900	1.8422e-12	1.2376e-14
5331.6400	1.8365e-12	1.3473e-14
5332.8900	1.8355e-12	1.3057e-14
5334.1400	1.8479e-12	1.3040e-14
5335.3900	1.8325e-12	1.2152e-14
5336.6400	1.8249e-12	1.2866e-14
5337.8900	1.8246e-12	1.3694e-14
5339.1400	1.7869e-12	1.2206e-14
5340.3900	1.7751e-12	1.3437e-14
5341.6400	1.8197e-12	1.3467e-14
5342.8900	1.8496e-12	1.3892e-14
5344.1400	1.8382e-12	1.4489e-14
5345.3900	1.8232e-12	1.4086e-14
5346.6400	1.8242e-12	1.2277e-14
5347.8900	1.8105e-12	1.3177e-14
5349.1400	1.8095e-12	1.2550e-14
5350.3900	1.8416e-12	1.1099e-14
5351.6400	1.8482e-12	1.2879e-14
5352.8900	1.8429e-12	1.2851e-14
5354.1400	1.8554e-12	1.2053e-14
5355.3900	1.8630e-12	1.2354e-14
5356.6400	1.8631e-12	1.2993e-14
5357.8900	1.8632e-12	1.2531e-14
5359.1400	1.8621e-12	1.2534e-14
5360.3900	1.8537e-12	1.1823e-14
5361.6400	1.8283e-12	1.3241e-14
5362.8900	1.8103e-12	1.4413e-14
5364.1400	1.7976e-12	1.3655e-14
5365.3900	1.8017e-12	1.3955e-14
5366.6400	1.8061e-12	1.2328e-14
5367.8900	1.8035e-12	1.3712e-14
5369.1400	1.7744e-12	1.4763e-14
5370.3900	1.7409e-12	1.1435e-14
5371.6400	1.7775e-12	1.2245e-14
5372.8900	1.8312e-12	1.3057e-14
5374.1400	1.8498e-12	1.4040e-14
5375.3900	1.8556e-12	1.3406e-14
5376.6400	1.8515e-12	1.3452e-14
5377.8900	1.8466e-12	1.2486e-14
5379.1400	1.8300e-12	1.2120e-14
5380.3900	1.8178e-12	1.0347e-14
5381.6400	1.8031e-12	1.2917e-14
5382.8900	1.8002e-12	1.2855e-14
5384.1400	1.8286e-12	1.2849e-14
5385.3900	1.8477e-12	1.4229e-14
5386.6400	1.8468e-12	1.3091e-14
5387.8900	1.8365e-12	1.2458e-14
5389.1400	1.8259e-12	1.3526e-14
5390.3900	1.8209e-12	1.3909e-14
5391.6400	1.8072e-12	1.2961e-14
5392.8900	1.8058e-12	1.0855e-14
5394.1400	1.8243e-12	1.4503e-14
5395.3900	1.7972e-12	1.2376e-14
5396.6400	1.7667e-12	1.0739e-14
5397.8900	1.7951e-12	1.1945e-14
5399.1400	1.8164e-12	1.1045e-14
5400.3900	1.8194e-12	1.2625e-14
5401.6400	1.8202e-12	1.3940e-14
5402.8900	1.7785e-12	1.3661e-14
5404.1400	1.7365e-12	1.1999e-14
5405.3900	1.7526e-12	1.2855e-14
5406.6400	1.8029e-12	1.4115e-14
5407.8900	1.8113e-12	1.4703e-14
5409.1400	1.7753e-12	1.4112e-14
5410.3900	1.7789e-12	1.3597e-14
5411.6400	1.8185e-12	1.2577e-14
5412.8900	1.8245e-12	1.2509e-14
5414.1400	1.7960e-12	1.2245e-14
5415.3900	1.8036e-12	1.2408e-14
5416.6400	1.8302e-12	1.3267e-14
5417.8900	1.8261e-12	1.2086e-14
5419.1400	1.8274e-12	1.4081e-14
5420.3900	1.8313e-12	1.2969e-14
5421.6400	1.8228e-12	1.3367e-14
5422.8900	1.7880e-12	1.3436e-14
5424.1400	1.7833e-12	1.3396e-14
5425.3900	1.8246e-12	1.0270e-14
5426.6400	1.8390e-12	1.1823e-14
5427.8900	1.7941e-12	1.3534e-14
5429.1400	1.7546e-12	1.2926e-14
5430.3900	1.7948e-12	1.1341e-14
5431.6400	1.8202e-12	1.0681e-14
5432.8900	1.7852e-12	1.2910e-14
5434.1400	1.7684e-12	1.2455e-14
5435.3900	1.8011e-12	1.0315e-14
5436.6400	1.8298e-12	1.2650e-14
5437.8900	1.8400e-12	1.1005e-14
5439.1400	1.8419e-12	1.2711e-14
5440.3900	1.8388e-12	1.2319e-14
5441.6400	1.8389e-12	1.2580e-14
5442.8900	1.8266e-12	1.3802e-14
5444.1400	1.7921e-12	1.2315e-14
5445.3900	1.7419e-12	1.4631e-14
5446.6400	1.7486e-12	1.2692e-14
5447.8900	1.8071e-12	9.3594e-15
5449.1400	1.8351e-12	1.1343e-14
5450.3900	1.8346e-12	1.2047e-14
5451.6400	1.8318e-12	1.2258e-14
5452.8900	1.8142e-12	1.3509e-14
5454.1400	1.7481e-12	1.3742e-14
5455.3900	1.7348e-12	1.1088e-14
5456.6400	1.8022e-12	8.9408e-15
5457.8900	1.8322e-12	1.2158e-14
5459.1400	1.8312e-12	1.2733e-14
5460.3900	1.8213e-12	1.2801e-14
5461.6400	1.7852e-12	1.3110e-14
5462.8900	1.7732e-12	1.1737e-14
5464.1400	1.8029e-12	1.2262e-14
5465.3900	1.8097e-12	1.1260e-14
5466.6400	1.8115e-12	1.1973e-14
5467.8900	1.8228e-12	1.1159e-14
5469.1400	1.8219e-12	1.1432e-14
5470.3900	1.8227e-12	1.2226e-14
5471.6400	1.8154e-12	1.1406e-14
5472.8900	1.8025e-12	1.0123e-14
5474.1400	1.7874e-12	1.3101e-14
5475.3900	1.7394e-12	1.3508e-14
5476.6400	1.7290e-12	1.0814e-14
5477.8900	1.7846e-12	1.1677e-14
5479.1400	1.8061e-12	1.1485e-14
5480.3900	1.7992e-12	1.1658e-14
5481.6400	1.8007e-12	1.0788e-14
5482.8900	1.8099e-12	1.2031e-14
5484.1400	1.8173e-12	1.2806e-14
5485.3900	1.8097e-12	1.2040e-14
5486.6400	1.7936e-12	1.0545e-14
5487.8900	1.7940e-12	1.1500e-14
5489.1400	1.8037e-12	1.2056e-14
5490.3900	1.8072e-12	1.1446e-14
5491.6400	1.8064e-12	1.1881e-14
5492.8900	1.8020e-12	1.2535e-14
5494.1400	1.8045e-12	1.2690e-14
5495.3900	1.7933e-12	1.2607e-14
5496.6400	1.7693e-12	1.0766e-14
5497.8900	1.7805e-12	1.0382e-14
5499.1400	1.7985e-12	1.0855e-14
5500.3900	1.7749e-12	1.0033e-14
5501.6400	1.7701e-12	1.1463e-14
5502.8900	1.7938e-12	1.0262e-14
5504.1400	1.7987e-12	9.2767e-15
5505.3900	1.7707e-12	1.1248e-14
5506.6400	1.7648e-12	1.0662e-14
5507.8900	1.7913e-12	9.8308e-15
5509.1400	1.7978e-12	9.7693e-15
5510.3900	1.7907e-12	1.1682e-14
5511.6400	1.7758e-12	1.1459e-14
5512.8900	1.7692e-12	1.0471e-14
5514.1400	1.7883e-12	1.0504e-14
5515.3900	1.8014e-12	1.1910e-14
5516.6400	1.8065e-12	1.1258e-14
5517.8900	1.8068e-12	8.3567e-15
5519.1400	1.8057e-12	1.0098e-14
5520.3900	1.8046e-12	1.0214e-14
5521.6400	1.8003e-12	1.0655e-14
5522.8900	1.7987e-12	1.0546e-14
5524.1400	1.7922e-12	1.0909e-14
5525.3900	1.7657e-12	9.9500e-15
5526.6400	1.7112e-12	1.0843e-14
5527.8900	1.6897e-12	1.1840e-14
5529.1400	1.7487e-12	8.3364e-15
5530.3900	1.7936e-12	8.8236e-15
5531.6400	1.7943e-12	9.9470e-15
5532.8900	1.7836e-12	9.4115e-15
5534.1400	1.7675e-12	1.0251e-14
5535.3900	1.7754e-12	9.8825e-15
5536.6400	1.7904e-12	9.0411e-15
5537.8900	1.7922e-12	9.0220e-15
5539.1400	1.7920e-12	9.9234e-15
5540.3900	1.7938e-12	9.7717e-15
